openalexid,value,key
W3092843175,"['IoT sensor analytics', 'network intrusion detection']",Data-Centric AI
W3192495768,[],Decision-Support AI
W3089204850,[],Data-Centric AI
W3106471330,[' IoT sensor analytics (LSTM-based) '],Decision-Support AI
W4283323042,['IoT sensor analytics'],Data-Centric AI
W3094015332,"['machine learning', 'discharge prediction']",Predictive AI
W3115457867,"['standard deviation', 'coefficient of variation', 'grey correlation analysis']",Data-Centric AI
W3181252020,"['ordinary least squares', 'geographically weighted regression', 'multiscale geographically weighted regression']",Predictive AI
W3129145601,"['IoT sensor analytics', 'LSTM-based']",Data-Centric AI
W4285004952,['reinforcement learning'],Decision-Support AI
W3007338089,"['artificial neural network (ANN)', 'Markov chain (MC)']",Predictive AI
W3112597358,"['sentiment analyses', 'Twitter messages']",Data-Centric AI
W3099985666,"['Convolutional Neural Networks', 'image classification', 'built-up areas', 'Sentinel-2 imagery']",Data-Centric AI
W3001677969,"['Multiple Endmember Spectral Mixture Analysis', 'Super-Resolution Mapping', 'Artificial Neural Network', 'Wavelet method']",Predictive AI
W4220681163,"['Cellular automata', 'ML-CNN-CA model', 'multi-label learning', 'CNN network', 'grid cell', 'land-use types', 'neighborhood effect', 'adaptive inertia coefficient', 'random factor', 'morphological perspective', 'quantitative assessments', 'accuracy value', 'hamming loss value']",Data-Centric AI
W3166630397,[],Data-Centric AI
W3157822456,"['NLP', 'machine learning']",Decision-Support AI
W4223426198,"['machine learning', 'urban planning', 'green spaces']",Decision-Support AI
W4285126701,"['IoT sensor analytics (LSTM-based)', 'machine learning', 'computer vision']",Predictive AI
W4285038156,['IoT sensor analytics'],Predictive AI
W3012084675,[],Other
W3216999574,"['Sentinel-1', 'Sentinel-2']",Data-Centric AI
W3204751889,['TOPSIS'],Decision-Support AI
W3194636661,"['ANN-CA modeling', 'quantum geographic information systems (QGIS)', 'Maximum-likelihood supervised classification', 'Future predictions of LULC changes']",Predictive AI
W4221107894,"['AI', 'big data analytics']",Data-Centric AI
W3131231361,[],Other
W3177916557,"['machine learning', 'remote sensing', 'data fusion']",Data-Centric AI
W4285011117,"['Google Earth Engine', 'RS imagery interpretation']",Data-Centric AI
W4211065293,['Machine Learning techniques'],Decision-Support AI
W3016231128,[],Other
W3012362938,['IoT sensor analytics (LSTM-based)'],Data-Centric AI
W3014418468,"['deep learning methods', 'high-resolution remote sensing imagery', 'land-use classification']",Data-Centric AI
W3033154016,"['Taiwan Air Quality Monitoring data', 'machine learning predictive models']",Predictive AI
W4225295290,"['Time-Series Forecasting', 'water demand']",Predictive AI
W3196830534,"['renewable energy forms', 'sustainable urban energy', 'efficient infrastructure', 'smart eco-city designs']",Data-Centric AI
W4213244432,"['IoT', 'Machine Learning (ML)']",Data-Centric AI
W3158152334,"['agent-based model', 'remote sensing images', 'machine learning-derived land use maps']",Decision-Support AI
W3119672720,"['Artificial Neural Networks (ANNs) ensembles', 'Multilayer Perceptron (MLP)', 'Radial Basis Function Networks (RBF)', 'Extreme Learning Machines (ELM)', 'Echo State Networks (ESN)', 'Adaptive Network Fuzzy Inference System (ANFIS)']",Predictive AI
W3177478558,"['Deep learning', 'Satellite imagery']",Data-Centric AI
W2999364479,['predictive modeling'],Decision-Support AI
W4200602065,"['Landsat 7 Enhanced Thematic Mapper (ETM+)', 'Landsat 8 Operational Land Imager (OLI)']",Data-Centric AI
W3203062970,[],Data-Centric AI
W3013638355,['Artificial Neural Networks (ANN)'],Predictive AI
W4226449712,"['machine learning', 'short-term predictions', 'XGBoost']",Predictive AI
W4293661115,['Back Propagation neural network'],Predictive AI
W3090915317,['trunk circumference'],Decision-Support AI
W4284967513,N/A,N/A
W4284892692,"['deep learning model', 'image semantic segmentation technology', 'ordinary least squares (OLS) regression model', 'random forest (RF) model']",Predictive AI
W4283659482,"['AI', 'scheduling', 'prediction', 'monitoring']",Predictive AI
W4311041347,[],Other
W3022517038,"['Satellite imagery preprocessing', 'Vegetation Indices (NDVI, EVI)']",Data-Centric AI
W3155936534,[],Other
W4283768796,"['deep learning', 'ResNet50']",Data-Centric AI
W3114921721,['LSTM neural network model'],Predictive AI
W3166145371,"['spatiotemporal shifting pattern of LULC', 'simulation of future scenarios', 'CA-ANN approach']",Predictive AI
W4225426084,"['Probabilistic machine learning', 'Time-Series Forecasting']",Predictive AI
W3111868370,"['machine learning method', 'predicting building heights']",Data-Centric AI
W3033545933,"['deep learning', 'polycentric urban structures', 'urban vibrancy evaluation', 'PM2.5 population exposure estimation', 'land-use classification']",Predictive AI
W3184361064,['1D-CNN'],Predictive AI
W3090091488,"['machine learning approach', 'multiple linear regression models']",Predictive AI
W3160658567,"['artificial intelligence methods', 'disaster resilience']",Decision-Support AI
W4283777872,"['supervised learning', 'NLP techniques', 'Multiple Regression Analysis']",Predictive AI
W3193312915,"['machine learning', 'deep learning']",Predictive AI
W3135423358,"['Kernel density estimation', 'Spatial autocorrelation analysis', 'Geographical detector', 'Geographically weighted regression']",Predictive AI
W4310364078,"['machine learning', 'IoT-based devices']",Predictive AI
W4200059535,"['Transfer Learning', 'Pre-trained Models (InceptionV3, Resnet50V2, VGG19)']",Predictive AI
W4205975943,"['LR', 'MLP neural network models']",Predictive AI
W4200309310,['AI for policy advising'],Decision-Support AI
W4313471424,"['machine learning method', 'XGBoost', 'LSTM-based']",Predictive AI
W4281390107,"['flood sensors', ' IoT sensor analytics', ' flood risk mapping', ' infrastructure failure prediction', ' rapid impact assessment']",Predictive AI
W4310193683,[],Other
W4223434447,"['machine learning', 'observation-based model (OBM)', 'sensitivity analysis']",Decision-Support AI
W4285090001,[],Other
W3110027273,N/A,N/A
W3112984556,"['Support Vector Machine', 'Random Forest', 'High Accuracy Surface Modeling']",Data-Centric AI
W4283748958,"['DeepGeo', 'Uncertainty quantification', 'Deterministic maps']",Data-Centric AI
W4205179525,"['sensor support systems', 'autonomous cropping', 'harvesting']",Decision-Support AI
W3085610647,"['end-to-end deep learning framework', 'remote sensing imagery', 'neighbor effect']",Predictive AI
W3120887079,"['Recurrent neural networks', 'synthetic localized weather data']",Data-Centric AI
W3012538234,N/A,N/A
W4387767134,Decision-Support AI,main_category
W4376619155,"['Satellite imagery', 'CNNs', 'Lidar data']",Data-Centric AI
W4362611851,N/A,N/A
W4383682762,"['digital innovation and technologies', 'digital infrastructure and intelligent data systems']",Data-Centric AI
W4389206382,[],Other
W4366515524,"['Multi-Objective Optimization Algorithms', 'land-use allocation problems', 'urban planning', 'Pareto-fronts']",Decision-Support AI
W4315652177,"['machine learning', 'artificial neural network-based prediction']",Predictive AI
W4400957436,['IoT sensor analytics'],Data-Centric AI
W4385765561,[],Data-Centric AI
W4397008103,"['urban AI', 'AI integration', 'sustainable smart cities', 'data-driven environmental planning']",Decision-Support AI
W4321437862,"['machine learning', 'causal forest']",Decision-Support AI
W4322769928,"['eye tracking', 'visual perception']",Decision-Support AI
W4399335514,['IoT sensor analytics'],Data-Centric AI
W4390044123,"['urban traffic control', 'AI-enabled routing methodology']",Decision-Support AI
W4361292570,"['big data', 'collaboration between key stakeholders', 'convergence of artificial and human intelligence']",Decision-Support AI
W4385348479,N/A,N/A
W4318206819,"['CNNs', '1-DCNN']",Data-Centric AI
W4389340439,"['Landsat images', 'Google Earth Engine', 'Artificial Neural Network (ANN)', 'cellular automata technique']",Predictive AI
W4385651967,['multi-criteria decision-making'],Decision-Support AI
W4321786597,[],Other
W4317436598,"['ANN-MLP', 'Markov Chain']",Predictive AI
W4388419229,"['descriptive analytics', 'predictive analytics', 'prescriptive analytics']",Predictive AI
W4385311368,"['IoT', 'machine learning']",Data-Centric AI
W4387533110,"['machine learning', 'deep learning']",Data-Centric AI
W4383345515,['machine-learning model'],Predictive AI
W4389964405,[],Other
W4387409328,[],Other
W4322730580,[],Other
W4319834464,"['machine learning', 'population growth', 'urban growth']",Predictive AI
W4394599917,"['AI', 'remote sensing', 'predictive modeling']",Predictive AI
W4385219128,['IoT sensor analytics'],Data-Centric AI
W4387673749,"['drone technologies', 'UAVs', 'drones', 'quadcopters', 'fixed-wing drones', 'mapping urban heat islands', 'energy efficiency', 'air quality', 'greenhouse gas emissions']",Data-Centric AI
W4317651094,['IoT sensor analytics'],Data-Centric AI
W4399442277,['AI for Cybersecurity Measures'],Decision-Support AI
W4364382852,"['automated land-use configuration', 'urban planning', 'machine learning']",Decision-Support AI
W4367043536,"['IoT sensor analytics', 'LSTM-based']",Data-Centric AI
W4386837245,"['LSTM', 'Markov Chain', 'Support Vector Machine (SVM)', 'Maximum Likelihood Classifier (MLC)']",Predictive AI
W4392811432,"['Urban planning', 'Land use change modeling', 'Socio-economic analysis']",Decision-Support AI
W4385490366,['ANN–CA–Markov model'],Predictive AI
W4313584312,['machine learning model combined with statistical models'],Predictive AI
W4391597216,"['Landsat imagery', 'convolutional neural networks (CNN)']",Data-Centric AI
W4391757240,"['Artificial Neural Network', 'Solar irradiance prediction', 'Climatic variables']",Predictive AI
W4376274933,N/A,N/A
W4322503803,"['Multi-Layer Perceptron (MLP)', 'Artificial neural network', 'Multi-Criteria Decision Analysis (MCDA)']",Predictive AI
W4317609245,"['ANN-MLP', 'Random Forest', 'M5P', 'SMOReg']",Decision-Support AI
W4318066364,"['big data', 'artificial-intelligence technologies', 'daily maps', 'NO2', 'SO2', 'CO', 'spatial resolution', 'cross-validation', 'ground observations']",Data-Centric AI
W4313441565,"['CA-ANN', 'LULC change detection', 'MOLUSCE model', 'Landsat satellite imagery analysis']",Decision-Support AI
W4390415081,"['IoT sensor analytics (LSTM-based)', 'Urban mobility', 'Autonomous Systems']",Data-Centric AI
W4388824319,"['machine learning', 'GIS-based quantitative framework', 'land-use compatibility analysis', 'spatial conflicts evaluation', 'quantitative analysis']",Decision-Support AI
W4385671811,['IoT sensor analytics'],Data-Centric AI
W4387910234,"['CNNs', 'Land Use and Land Cover (LULC) classification']",Predictive AI
W4317930808,['IoT sensor analytics'],Data-Centric AI
W4385491741,"['machine learning', 'remote sensing', 'principal component analysis']",Data-Centric AI
